Week,Dates,Theme,Activities,Owner,Location
0,Jul 7-11,Pre-Program,Onboarding; office setup; GP intros; expectation setting,Sam Park,SF Office
1,Jul 14-18,Customer Discovery,40 customer interviews assigned; daily debriefs,All GPs,SF Office
2,Jul 21-25,Customer Discovery,Interview synthesis; pattern recognition workshop,Jordan Levi,SF Office
3,Jul 28-Aug 1,Problem Definition,Problem statement workshop; hypothesis map,Sam Park,SF Office
4,Aug 4-8,Solution Design,Solution architecture; build vs. buy decisions,Maya Chen,SF Office
5,Aug 11-15,MVP Sprint,First code; design sprint; 5 design partner outreach,All,SF Office
6,Aug 18-22,First Customers,Demo to 10 prospects; close 3-5 paying customers,Sam Park,SF Office
7,Aug 25-29,GTM Foundation,Pricing model; channel experiments; messaging workshop,Maya Chen,SF Office
8,Sep 1-5,GTM Acceleration,Sales process; outbound sequences; content engine,Sam Park,SF Office
9,Sep 8-12,Fundraising Prep,Deck workshop; data room setup; investor targeting,Maya + Jordan,SF Office
10,Sep 15-19,Mock Pitches,Full partner mock; 2 invited Seed VCs for feedback,All GPs,SF Office
Demo Day,Sep 25,Public Demo Day,50+ invited investors; 8-minute pitches; 1:1s,All,SF Office + Livestream
